customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AverageMonthlyCharge
9763-GRSKD,Male,0,Yes,Yes,-0.7888002190384014,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.4922805219681379,587.45,No,3.8423076923076924
7469-LKBCI,Male,0,No,No,-0.6666391278783103,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5225946620711341,326.8,No,1.184375
8091-TTVAX,Male,0,Yes,No,1.0436161483629645,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),1.182810854199314,5681.1,No,1.7301724137931034
0280-XJGEX,Male,0,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2941512532104444,5036.3,Yes,2.1163265306122447
5129-JLPIS,Male,0,No,No,-0.30015585439803716,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.3539759452164248,2686.05,No,4.22
3655-SNQYZ,Female,0,Yes,Yes,1.4915401492832983,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.611554480242174,7895.15,No,1.641304347826087
8191-XWSZG,Female,0,No,No,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.4660935640654862,1022.95,No,0.3971153846153846
9959-WOFKT,Male,0,No,Yes,1.5729808767233588,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),1.393859073220412,7382.25,No,1.5028169014084507
4190-MFLUW,Female,0,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.31779183695069496,528.35,Yes,5.5200000000000005
4183-MYFRB,Female,0,No,No,-0.46303730927815856,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.8404806721650927,1862.9,No,4.288095238095238
8779-QRDMV,Male,1,No,No,-1.2774445836787656,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8346107040023594,39.65,Yes,39.65
1680-VDCWW,Male,0,Yes,No,-0.8295205827584317,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),-1.4943441130683104,202.25,No,1.6500000000000001
1066-JKSGK,Male,0,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4827115340671475,20.15,Yes,20.15
3638-WEABW,Female,0,Yes,No,1.0436161483629645,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),-0.1615829189350795,3505.1,No,1.032758620689655
6322-HRPFA,Male,0,Yes,Yes,0.6771328748826912,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.17155370093607614,2970.3,No,1.2163265306122448
6865-JZNKO,Female,0,No,No,-0.0965540357978854,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.31446824295036285,1530.6,No,1.8433333333333333
6467-CHFZW,Male,0,Yes,Yes,0.5956921474426305,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1495749141959914,4749.15,Yes,2.1138297872340424
8665-UTDHZ,Male,0,Yes,Yes,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-1.1486903370337564,30.2,Yes,30.2
5248-YGIJN,Male,0,Yes,No,1.6137012404433893,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8471278601657574,6369.45,No,1.2534722222222223
8773-HHUOZ,Female,0,No,Yes,-0.62591876415828,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,-0.0020504069191315333,1093.1,Yes,3.8058823529411767
3841-NFECX,Female,1,Yes,No,1.5729808767233588,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1.0498670941860242,6766.95,No,1.3570422535211266
4929-XIHVW,Male,1,Yes,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0216165451832002,181.65,No,47.75
6827-IEAUQ,Female,0,Yes,Yes,-0.21871512695797646,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0.046141706085686136,1874.45,No,2.45
7310-EGVHZ,Male,0,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.481049737066981,20.2,No,20.2
3413-BMNZE,Male,1,No,No,-1.2774445836787656,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-0.6484894399837535,45.25,No,45.25
6234-RAAPL,Female,0,Yes,Yes,1.6137012404433893,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),1.1678546811978192,7251.7,No,1.3875000000000002
6047-YHPVI,Male,0,No,No,-1.1145631287986442,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.16412929309748078,316.9,Yes,13.940000000000001
6572-ADKRS,Female,0,No,No,0.5549717837226001,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.33363258711442517,3548.3,No,1.626086956521739
5380-WJKOV,Male,0,No,No,0.06632741908223598,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3822264942192488,3549.25,Yes,3.1279411764705882
8168-UQWWF,Female,0,No,No,-0.8702409464784621,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.099721004191008,1105.4,Yes,8.895454545454545
8865-TNMNX,Male,0,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,-0.5055748979694671,475.7,No,4.955
9489-DEDVP,Female,0,Yes,Yes,1.5322605130033284,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.14751132309581955,4872.35,No,0.9885714285714287
9867-JCZSP,Female,0,Yes,Yes,-0.62591876415828,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.462769970065154,418.25,No,1.2205882352941178
4671-VJLCL,Female,0,No,No,1.247217966963116,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.5014740841312035,4861.45,No,1.2674603174603174
4080-IIARD,Female,0,Yes,No,-0.7888002190384014,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.3801629031190768,981.45,No,5.861538461538462
3714-NTNFO,Female,0,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6560212051466532,3906.7,No,1.7244897959183674
5948-UJZLF,Male,0,No,No,-1.2367242199587352,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.5155456799704636,97.0,No,24.625
7760-OYPDY,Female,0,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.5280628361338618,144.15,Yes,40.325
7639-LIAYI,Male,0,No,No,0.7992939660427822,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.4981504901308714,4217.8,No,1.5336538461538463
2954-PIBKO,Female,0,Yes,Yes,1.4915401492832983,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),-0.020330173920958795,4254.1,No,0.9297101449275363
8012-SOUDQ,Female,1,No,No,0.43281069256250915,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8471278601657574,3838.75,No,2.0988372093023258
9420-LOJKX,Female,0,No,No,-0.7073594915983407,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.141265929195161,1426.4,Yes,6.6066666666666665
6575-SUVOI,Female,1,Yes,No,-0.30015585439803716,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0.1574821050968162,1752.65,No,2.78
7495-OOKFY,Female,1,Yes,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.5280628361338618,633.3,Yes,10.08125
4667-QONEA,Female,1,Yes,Yes,1.125056875803025,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),0.33529438411459117,4456.35,No,1.2474999999999998
1658-BYGOY,Male,1,No,No,-0.5851984004382496,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0199547481830342,1752.55,Yes,5.302777777777778
8769-KKTPH,Female,0,Yes,Yes,1.247217966963116,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),1.1595456961969886,6311.2,No,1.581746031746032
5067-XJQFU,Male,1,Yes,Yes,1.369379058123207,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.4520219682262263,7076.35,No,1.6431818181818183
3957-SQXML,Female,0,Yes,Yes,0.06632741908223598,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.3231790220511994,894.3,No,0.7338235294117647
5954-BDFSG,Female,0,No,No,1.6137012404433893,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.42044782522307,7853.7,No,1.4930555555555556
0434-CSFON,Female,0,Yes,No,0.5956921474426305,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1877962451998125,4707.1,No,2.1382978723404253
1215-FIGMP,Male,0,No,No,1.125056875803025,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.8354952811645946,5450.7,No,1.4983333333333335
0526-SXDJP,Male,0,Yes,No,1.6137012404433893,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),-0.7531826509942192,2962.0,No,0.5847222222222223
0557-ASKVU,Female,0,Yes,Yes,-0.5851984004382496,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),-0.34438058895335305,957.1,No,3.022222222222222
5698-BQJOH,Female,0,No,No,-0.9516816739185228,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.9850570111795457,857.25,Yes,10.488888888888889
5122-CYFXA,Female,0,No,No,-1.1960038562387048,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.3502505571160864,244.1,No,25.099999999999998
8627-ZYGSZ,Male,0,Yes,No,0.5956921474426305,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,0.46989994112804756,3650.35,No,1.6787234042553192
3410-YOQBQ,Female,0,No,No,-0.055833672077855064,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0.47987072312904416,2497.2,No,2.5548387096774197
3170-NMYVV,Female,0,Yes,Yes,0.7178532386027215,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4827115340671475,930.9,No,0.40299999999999997
7410-OIEDU,Male,0,No,No,-0.9109613101984924,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.5014740841312035,887.35,No,7.984999999999999
2273-QCKXA,Male,0,No,No,-1.2774445836787656,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,-0.5221928679711283,49.05,No,49.05
0731-EBJQB,Female,0,Yes,Yes,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,-1.4744025490663168,1090.65,No,0.3923076923076923
1891-QRQSA,Male,1,Yes,Yes,1.2879383306831464,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.5567151792366918,7099.0,No,1.74375
8028-PNXHQ,Male,0,Yes,Yes,1.2064976032430856,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.3464441800535252,1424.6,No,0.3911290322580645
5630-AHZIL,Female,0,No,Yes,-1.1960038562387048,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.00869759491979612,177.4,No,21.5
2673-CXQEU,Female,1,No,No,0.9621754209229036,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,1.5201556452330371,6139.5,No,1.9732142857142858
6416-JNVRK,Female,0,No,No,0.5549717837226001,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),-0.3028356639492,2688.85,No,1.2097826086956522
5590-ZSKRV,Female,0,Yes,Yes,-0.9924020376385531,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.33607160395252245,482.25,No,6.83125
0191-ZHSKZ,Male,1,No,No,-0.0965540357978854,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.3319707901142591,2111.3,No,2.4916666666666667
3887-PBQAO,Female,0,Yes,Yes,0.5142514200025698,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),-1.2916048790480432,1216.6,No,0.5755555555555555
5919-TMRGD,Female,0,No,Yes,-1.2774445836787656,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.48485611412954227,79.35,Yes,79.35
8108-UXRQN,Female,0,Yes,Yes,-0.8702409464784621,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,-0.47233895796614456,565.35,No,4.595454545454545
9191-MYQKX,Female,0,Yes,No,-1.0331224013585834,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.34526516611558833,496.9,Yes,10.735714285714286
9919-YLNNG,Female,0,No,No,0.3920903288424788,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2974748472107767,4327.5,No,2.4714285714285715
0318-ZOPWS,Female,0,Yes,No,0.6771328748826912,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.4827115340671475,973.35,No,0.41122448979591836
4445-ZJNMU,Male,0,No,No,-0.9516816739185228,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.1479131171958254,918.75,No,11.033333333333333
4808-YNLEU,Female,0,Yes,No,0.10704778280226633,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),-0.08680205392760396,2215.45,No,1.7757142857142856
1862-QRWPE,Female,0,Yes,Yes,0.6364125111626608,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4660935640654862,1057.0,No,0.4302083333333333
2796-NNUFI,Female,0,Yes,Yes,0.5549717837226001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,-1.4893587220678117,927.1,No,0.43369565217391304
3016-KSVCP,Male,0,Yes,No,-0.13727439951791576,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,-1.0307027500219619,1009.25,No,1.1637931034482758
4767-HZZHQ,Male,0,Yes,Yes,-0.0965540357978854,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.574593152138513,2570.2,No,2.735
2424-WVHPL,Male,1,No,No,-1.2774445836787656,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.3303089931140931,74.7,No,74.7
7233-PAHHL,Male,0,Yes,Yes,1.369379058123207,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,0.6394032351449919,5714.25,No,1.2727272727272727
6067-NGCEU,Female,0,No,No,1.3286586944031769,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.5384354122348645,7107.0,No,1.7084615384615385
9848-JQJTX,Male,0,No,No,1.6137012404433893,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.2010906212011416,7459.05,No,1.401388888888889
8637-XJIVR,Female,0,No,No,-0.8295205827584317,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.47156173812821356,927.35,Yes,6.579166666666667
9803-FTJCG,Male,0,Yes,Yes,1.5729808767233588,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0.06940686408801149,4748.7,No,0.9415492957746479
0278-YXOOG,Male,0,No,No,-1.1145631287986442,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4527991880641573,113.85,Yes,4.21
3212-KXOCR,Male,0,No,No,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4544609850643233,1107.2,No,0.40384615384615385
4598-XLKNJ,Female,1,Yes,No,-0.30015585439803716,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1213243651931677,2514.5,Yes,3.94
6380-ARCEH,Male,0,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.481049737066981,20.2,No,20.2
3679-XASPY,Female,0,Yes,Yes,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,-1.505976692069473,19.45,No,19.45
7123-WQUHX,Male,0,No,No,0.22920887396235737,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),1.0049985751815391,3605.6,No,2.5
5386-THSLQ,Female,1,Yes,No,1.369379058123207,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),-0.6385186579827569,3027.25,No,0.6901515151515151
3192-NQECA,Male,0,Yes,No,1.4508197855632678,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.503537675231376,7611.85,Yes,1.6176470588235294
6180-YBIQI,Male,0,No,No,-1.1145631287986442,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.3447823830533592,100.2,No,4.86
6728-DKUCO,Female,0,Yes,Yes,1.6137012404433893,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,1.3091074262119398,7303.05,No,1.4465277777777779
9750-BOOHV,Female,0,No,No,-0.015113308357824713,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,-1.150352134033923,927.65,No,0.9421875
8597-CWYHH,Male,0,No,No,0.43281069256250915,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,0.9833952141793793,3921.3,No,2.1941860465116276
2848-YXSMW,Male,0,Yes,Yes,1.6137012404433893,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5076384890696393,1363.25,No,0.26944444444444443
0486-HECZI,Male,0,Yes,No,0.9214550572028734,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0631614701873533,5238.9,Yes,1.759090909090909
4549-ZDQYY,Female,0,No,No,0.7992939660427822,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),-0.22639300194155818,3042.25,No,1.114423076923077
5712-AHQNN,Female,0,No,No,0.43281069256250915,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.893658176170409,3954.1,No,2.1313953488372093
4846-WHAFZ,Female,1,Yes,No,0.18848851024232702,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.39013368512007346,2868.15,Yes,2.0675675675675675
5256-SKJGO,Female,0,Yes,Yes,1.2879383306831464,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,-0.33773340095268845,3423.5,No,0.853125
3071-VBYPO,Male,0,Yes,Yes,-1.1960038562387048,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.8338334841644282,248.4,No,29.95
9560-BBZXK,Female,0,No,No,0.14776814652229667,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),-1.1204397880309327,1126.35,No,0.8625
5299-RULOA,Female,0,Yes,Yes,-0.9109613101984924,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1794872601989819,1064.65,Yes,10.025
8402-OOOHJ,Female,0,No,No,0.35136996512244845,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.4660935640654862,835.15,No,0.5036585365853659
9445-ZUEQE,Male,0,Yes,Yes,-0.21871512695797646,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.6792863631489789,2151.6,No,3.1555555555555554
1091-SOZGA,Female,0,Yes,Yes,0.9621754209229036,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.1645310871974868,5515.45,No,1.782142857142857
2928-HLDBA,Female,0,No,No,-1.0738427650786138,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.46443176706532,112.75,No,3.4499999999999997
0404-SWRVG,Male,0,No,No,-1.1960038562387048,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.32033821111309646,229.55,Yes,24.8
6497-TILVL,Female,0,Yes,Yes,-1.0331224013585834,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-0.467353566965646,350.35,No,7.242857142857143
7219-TLZHO,Female,0,Yes,Yes,-1.1552834925186746,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4594463760648215,62.9,No,5.2125
4622-YNKIJ,Male,0,No,No,0.025607055362205634,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,0.8039211381614382,3027.65,No,2.6954545454545453
4412-YLTKF,Female,1,No,No,-0.21871512695797646,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.44164939212522314,2135.5,Yes,2.890740740740741
6734-PSBAW,Male,0,Yes,No,1.6137012404433893,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.3697093380558512,1723.95,No,0.32708333333333334
3930-ZGWVE,Male,0,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4960059100684764,19.75,No,19.75
2639-UGMAZ,Male,1,No,No,1.5729808767233588,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,-0.2762469119465419,3985.35,No,0.7950704225352113
2876-GZYZC,Female,0,No,No,-0.7888002190384014,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.7042133181514708,1215.65,No,6.611538461538462
6207-WIOLX,Female,0,Yes,Yes,-0.30015585439803716,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),-0.2047896409393986,1502.65,Yes,2.344
8587-XYZSF,Male,0,No,No,1.4100994218432374,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),-0.47233895796614456,3260.1,No,0.7544776119402985
3091-FYHKI,Male,0,No,No,-1.2774445836787656,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.9742016520163136,35.45,Yes,35.45
2372-HWUHI,Male,0,No,No,-1.2367242199587352,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,-0.6784017859867437,81.25,Yes,22.175
7799-LGRDP,Female,0,No,No,0.43281069256250915,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-1.2982520670487077,1188.2,No,0.5976744186046511
